timestamp,largeDestCount,inboundMessageRate,pendingMessageSize,connectionCount,inboundMessageCount,outboundMessageRate,pendingMessageCount,outboundMessageCount,sessionCount,durableCount,diskWriteRate,asyncDBSize,syncDBSize,diskReadRate,msgMem,queueCount,producerCount,topicCount,consumerCount,msgMemPooled,routeRecoverCount,outboundBytesRate,diskReadOperationsRate,clientConnectionCount,inboundBytesRate,adminConnectionCount,diskWriteOperationsRate,RespTime
Tue Sep 03 12:37:58 948 BST 2019,0,0,0,2,3233,0,0,3232,3,0,0,4096,1536,0,18522,10,1,5,2,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 12:38:28 954 BST 2019,0,0,0,2,3240,0,0,3239,2,0,0,4096,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:38:58 968 BST 2019,0,0,0,2,3243,0,0,3242,2,0,0,4096,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,3
Tue Sep 03 12:39:28 978 BST 2019,0,0,0,3,3250,0,0,3249,4,0,0,3072,1536,0,23187,10,1,7,4,53248,0,0,0,-1,0,-1,0,8
Tue Sep 03 12:39:58 984 BST 2019,0,0,0,3,3253,0,0,3252,4,0,0,3072,1536,0,23187,10,1,7,4,53248,0,0,0,-1,0,-1,0,3
Tue Sep 03 12:40:28 987 BST 2019,0,0,0,2,3256,0,0,3255,2,0,0,3072,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:40:58 998 BST 2019,0,0,0,3,3263,0,0,3262,4,0,0,11776,1536,0,23187,10,1,7,4,53248,0,0,0,-1,0,-1,0,10
Tue Sep 03 12:41:29 002 BST 2019,0,0,0,2,3266,0,0,3265,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,4
Tue Sep 03 12:41:59 008 BST 2019,0,0,0,2,3269,0,0,3268,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:42:29 012 BST 2019,0,0,0,2,3272,0,0,3271,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:42:59 018 BST 2019,0,0,0,2,3275,0,0,3274,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:43:29 022 BST 2019,0,0,0,2,3278,0,0,3277,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:43:59 026 BST 2019,0,0,0,2,3281,0,0,3280,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:44:29 043 BST 2019,0,0,0,2,3284,0,0,3283,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:44:59 047 BST 2019,0,0,0,2,3287,0,0,3286,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:45:29 056 BST 2019,0,0,0,2,3290,0,0,3289,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:45:59 077 BST 2019,0,0,0,2,3293,0,0,3292,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:46:29 080 BST 2019,0,0,0,2,3296,0,0,3295,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:46:59 095 BST 2019,0,0,0,2,3299,0,0,3298,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:47:29 099 BST 2019,0,0,0,2,3302,0,0,3301,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:47:59 103 BST 2019,0,0,0,2,3305,0,0,3304,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:48:29 107 BST 2019,0,0,0,2,3308,0,0,3307,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:48:59 113 BST 2019,0,0,0,2,3311,0,0,3310,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:49:29 117 BST 2019,0,0,0,2,3314,0,0,3313,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:49:59 121 BST 2019,0,0,0,2,3317,0,0,3316,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:50:29 125 BST 2019,0,0,0,2,3320,0,0,3319,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:50:59 130 BST 2019,0,0,0,2,3323,0,0,3322,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:51:29 133 BST 2019,0,0,0,2,3326,0,0,3325,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:51:59 136 BST 2019,0,0,0,2,3329,0,0,3328,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:52:29 140 BST 2019,0,0,0,2,3332,0,0,3331,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:52:59 144 BST 2019,0,0,0,2,3335,0,0,3334,2,0,0,3584,1536,0,17528,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:53:29 148 BST 2019,0,0,0,2,3338,0,0,3337,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:53:59 153 BST 2019,0,0,0,2,3341,0,0,3340,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:54:29 157 BST 2019,0,0,0,2,3344,0,0,3343,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:54:59 171 BST 2019,0,0,0,2,3347,0,0,3346,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:55:29 173 BST 2019,0,0,0,2,3350,0,0,3349,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:55:59 176 BST 2019,0,0,0,2,3353,0,0,3352,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:56:29 180 BST 2019,0,0,0,2,3356,0,0,3355,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:56:59 195 BST 2019,0,0,0,2,3359,0,0,3358,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:57:29 198 BST 2019,0,0,0,2,3362,0,0,3361,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:57:59 214 BST 2019,0,0,0,2,3365,0,0,3364,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,3
Tue Sep 03 12:58:29 217 BST 2019,0,0,0,2,3368,0,0,3367,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:58:59 222 BST 2019,0,0,0,2,3371,0,0,3370,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 12:59:29 224 BST 2019,0,0,0,2,3374,0,0,3373,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 12:59:59 227 BST 2019,0,0,0,2,3377,0,0,3376,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:00:29 232 BST 2019,0,0,0,2,3380,0,0,3379,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:00:59 236 BST 2019,0,0,0,2,3383,0,0,3382,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:01:29 241 BST 2019,0,0,0,2,3386,0,0,3385,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:01:59 243 BST 2019,0,0,0,2,3389,0,0,3388,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:02:29 247 BST 2019,0,0,0,2,3392,0,0,3391,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:02:59 252 BST 2019,0,0,0,2,3395,0,0,3394,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:03:29 256 BST 2019,0,0,0,2,3398,0,0,3397,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:03:59 261 BST 2019,0,0,0,2,3401,0,0,3400,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:04:29 265 BST 2019,0,0,0,2,3404,0,0,3403,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:04:59 269 BST 2019,0,0,0,2,3407,0,0,3406,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:05:29 279 BST 2019,0,0,0,2,3410,0,0,3409,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:05:59 281 BST 2019,0,0,0,2,3413,0,0,3412,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:06:29 284 BST 2019,0,0,0,2,3416,0,0,3415,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:06:59 289 BST 2019,0,0,0,2,3419,0,0,3418,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:07:29 293 BST 2019,0,0,0,2,3422,0,0,3421,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:07:59 301 BST 2019,0,0,0,2,3425,0,0,3424,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:08:29 305 BST 2019,0,0,0,2,3428,0,0,3427,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:08:59 310 BST 2019,0,0,0,2,3431,0,0,3430,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:09:29 319 BST 2019,0,0,0,2,3434,0,0,3433,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:09:59 325 BST 2019,0,0,0,2,3437,0,0,3436,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:10:29 329 BST 2019,0,0,0,2,3440,0,0,3439,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:10:59 343 BST 2019,0,0,0,2,3443,0,0,3442,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:11:29 347 BST 2019,0,0,0,2,3446,0,0,3445,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:11:59 352 BST 2019,0,0,0,2,3449,0,0,3448,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:12:29 354 BST 2019,0,0,0,2,3452,0,0,3451,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:12:59 358 BST 2019,0,0,0,2,3455,0,0,3454,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:13:29 361 BST 2019,0,0,0,2,3458,0,0,3457,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:13:59 363 BST 2019,0,0,0,2,3461,0,0,3460,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:14:29 366 BST 2019,0,0,0,2,3464,0,0,3463,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:14:59 370 BST 2019,0,0,0,2,3467,0,0,3466,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:15:29 374 BST 2019,0,0,0,2,3470,0,0,3469,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:15:59 378 BST 2019,0,0,0,2,3473,0,0,3472,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:16:29 380 BST 2019,0,0,0,2,3476,0,0,3475,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:16:59 391 BST 2019,0,0,0,2,3479,0,0,3478,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:17:29 394 BST 2019,0,0,0,2,3482,0,0,3481,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:17:59 398 BST 2019,0,0,0,2,3485,0,0,3484,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:18:29 402 BST 2019,0,0,0,2,3488,0,0,3487,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:18:59 407 BST 2019,0,0,0,2,3491,0,0,3490,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:19:29 411 BST 2019,0,0,0,2,3494,0,0,3493,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:19:59 415 BST 2019,0,0,0,2,3497,0,0,3496,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:20:29 419 BST 2019,0,0,0,2,3500,0,0,3499,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:20:59 422 BST 2019,0,0,0,2,3503,0,0,3502,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:21:29 425 BST 2019,0,0,0,2,3506,0,0,3505,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:21:59 428 BST 2019,0,0,0,2,3509,0,0,3508,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:22:29 429 BST 2019,0,0,0,2,3512,0,0,3511,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:22:59 431 BST 2019,0,0,0,2,3515,0,0,3514,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:23:29 433 BST 2019,0,0,0,2,3518,0,0,3517,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:23:59 437 BST 2019,0,0,0,2,3521,0,0,3520,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:24:29 441 BST 2019,0,0,0,2,3524,0,0,3523,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:24:59 445 BST 2019,0,0,0,2,3527,0,0,3526,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:25:29 447 BST 2019,0,0,0,2,3530,0,0,3529,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:25:59 450 BST 2019,0,0,0,2,3533,0,0,3532,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:26:29 455 BST 2019,0,0,0,2,3536,0,0,3535,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:26:59 458 BST 2019,0,0,0,2,3539,0,0,3538,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:27:29 461 BST 2019,0,0,0,2,3542,0,0,3541,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:27:59 464 BST 2019,0,0,0,2,3545,0,0,3544,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:28:29 467 BST 2019,0,0,0,2,3548,0,0,3547,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:28:59 472 BST 2019,0,0,0,2,3551,0,0,3550,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:29:29 485 BST 2019,0,0,0,2,3554,0,0,3553,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:29:59 489 BST 2019,0,0,0,2,3557,0,0,3556,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:30:29 494 BST 2019,0,0,0,2,3560,0,0,3559,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:30:59 497 BST 2019,0,0,0,2,3563,0,0,3562,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:31:29 500 BST 2019,0,0,0,2,3566,0,0,3565,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:31:59 503 BST 2019,0,0,0,2,3569,0,0,3568,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:32:29 507 BST 2019,0,0,0,2,3572,0,0,3571,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:32:59 521 BST 2019,0,0,0,2,3575,0,0,3574,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
