timestamp,pendingMessageCount,largeDestCount,inboundMessageRate,outboundMessageRate,outboundMessageCount,connectionCount,pendingMessageSize,inboundMessageCount,topicCount,producerCount,queueCount,consumerCount,asyncDBSize,diskReadRate,msgMem,durableCount,sessionCount,diskWriteRate,syncDBSize,inboundBytesRate,clientConnectionCount,outboundBytesRate,diskWriteOperationsRate,routeRecoverCount,diskReadOperationsRate,adminConnectionCount,msgMemPooled,RespTime
Tue Feb 25 21:58:37 023 CET 2020,12,-1,2,2,17,1,1389,18,7,1,8,1,12288,0,17858,0,1,0,2048,539,0,3615,0,0,0,1,53248,1
Tue Feb 25 21:59:07 035 CET 2020,12,-1,0,0,21,2,1389,22,9,1,8,3,12288,0,22522,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 21:59:37 041 CET 2020,12,-1,0,0,24,2,1389,25,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:00:07 044 CET 2020,12,-1,0,0,27,2,1389,28,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:00:37 048 CET 2020,12,-1,1,1,35,2,1389,36,9,1,8,3,12288,0,22523,0,2,0,2048,213,1,1971,0,0,0,1,53248,2
Tue Feb 25 22:01:07 051 CET 2020,12,-1,0,0,40,2,1389,41,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:01:37 055 CET 2020,12,-1,0,0,44,2,1389,45,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:02:07 060 CET 2020,12,-1,0,0,48,2,1389,49,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:02:37 063 CET 2020,12,-1,0,0,54,2,1389,55,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:03:07 069 CET 2020,12,-1,0,0,58,2,1389,59,9,1,8,3,12288,0,22523,0,2,0,2048,102,1,122,0,0,0,1,53248,2
Tue Feb 25 22:03:37 074 CET 2020,12,-1,0,0,61,2,1389,62,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:04:07 077 CET 2020,12,-1,1,1,65,2,1389,66,9,1,8,3,12288,0,22523,0,2,0,2048,205,1,245,0,0,0,1,53248,2
Tue Feb 25 22:04:37 081 CET 2020,12,-1,0,0,68,2,1389,69,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:05:07 086 CET 2020,12,-1,0,0,72,2,1389,73,9,1,8,3,12288,0,22523,0,2,0,2048,102,1,122,0,0,0,1,53248,2
Tue Feb 25 22:05:37 091 CET 2020,12,-1,0,0,75,2,1389,76,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:06:07 095 CET 2020,12,-1,0,0,78,2,1389,79,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:06:37 114 CET 2020,12,-1,0,0,83,2,1389,84,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:07:07 118 CET 2020,12,-1,0,0,88,2,1389,89,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:07:37 121 CET 2020,12,-1,0,0,94,2,1389,95,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:08:07 126 CET 2020,12,-1,0,0,97,2,1389,98,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:08:37 130 CET 2020,12,-1,0,0,100,2,1389,101,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:09:07 134 CET 2020,12,-1,0,0,103,2,1389,104,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:09:37 137 CET 2020,12,-1,0,0,106,2,1389,107,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:10:07 141 CET 2020,12,-1,0,0,109,2,1389,110,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:10:37 144 CET 2020,12,-1,0,0,112,2,1389,113,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:11:07 148 CET 2020,12,-1,0,0,115,2,1389,116,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:11:37 152 CET 2020,12,-1,0,0,121,2,1389,122,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:12:07 156 CET 2020,12,-1,0,0,127,2,1389,128,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:12:37 159 CET 2020,12,-1,0,0,131,2,1389,132,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:13:07 161 CET 2020,12,-1,0,0,135,2,1389,136,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:13:37 165 CET 2020,12,-1,0,0,138,2,1389,139,9,1,8,3,12288,0,22523,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:14:07 168 CET 2020,12,-1,0,0,141,2,1389,142,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:14:37 173 CET 2020,12,-1,0,0,144,2,1389,145,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:15:07 176 CET 2020,12,-1,0,0,147,2,1389,148,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:15:37 178 CET 2020,12,-1,0,0,150,2,1389,151,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:16:07 180 CET 2020,12,-1,0,0,156,2,1389,157,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:16:37 184 CET 2020,12,-1,0,0,160,2,1389,161,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:17:07 186 CET 2020,12,-1,0,0,165,2,1389,166,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:17:37 190 CET 2020,12,-1,0,0,172,2,1389,173,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:18:07 194 CET 2020,12,-1,0,0,179,2,1389,180,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:18:37 199 CET 2020,12,-1,0,0,183,2,1389,184,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:19:07 202 CET 2020,12,-1,0,0,187,2,1389,188,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:19:37 206 CET 2020,12,-1,0,0,190,2,1389,191,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:20:07 210 CET 2020,12,-1,0,0,196,2,1389,197,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:20:37 214 CET 2020,12,-1,0,0,201,2,1389,202,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:21:07 217 CET 2020,12,-1,0,0,205,2,1389,206,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:21:37 222 CET 2020,12,-1,0,0,208,2,1389,209,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:22:07 225 CET 2020,12,-1,0,0,212,2,1389,213,9,1,8,3,12288,0,22524,0,2,0,2048,102,1,122,0,0,0,1,53248,1
Tue Feb 25 22:22:37 229 CET 2020,12,-1,0,0,215,2,1389,216,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:23:07 232 CET 2020,12,-1,0,0,218,2,1389,219,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:23:37 235 CET 2020,12,-1,0,0,221,2,1389,222,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:24:07 239 CET 2020,12,-1,0,0,226,2,1389,227,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:24:37 244 CET 2020,12,-1,0,0,231,2,1389,232,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:25:07 246 CET 2020,12,-1,0,0,235,2,1389,236,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:25:37 250 CET 2020,12,-1,0,0,238,2,1389,239,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:26:07 252 CET 2020,12,-1,0,0,242,2,1389,243,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:26:37 255 CET 2020,12,-1,0,0,248,2,1389,249,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:27:07 258 CET 2020,12,-1,0,0,251,2,1389,252,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:27:37 262 CET 2020,12,-1,0,0,254,2,1389,255,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:28:07 265 CET 2020,12,-1,0,0,257,2,1389,258,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:28:37 268 CET 2020,12,-1,0,0,260,2,1389,261,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:29:07 272 CET 2020,12,-1,0,0,263,2,1389,264,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:29:37 276 CET 2020,12,-1,0,0,266,2,1389,267,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:30:07 278 CET 2020,12,-1,0,0,269,2,1389,270,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:30:37 280 CET 2020,12,-1,0,0,272,2,1389,273,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:31:07 283 CET 2020,12,-1,0,0,277,2,1389,278,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:31:37 287 CET 2020,12,-1,0,0,282,2,1389,283,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:32:07 289 CET 2020,12,-1,0,0,286,2,1389,287,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:32:37 292 CET 2020,12,-1,0,0,289,2,1389,290,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:33:07 295 CET 2020,12,-1,0,0,293,2,1389,294,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:33:37 298 CET 2020,12,-1,0,0,296,2,1389,297,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:34:07 301 CET 2020,12,-1,0,0,300,2,1389,301,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:34:37 304 CET 2020,12,-1,0,0,303,2,1389,304,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:35:07 306 CET 2020,12,-1,0,0,306,2,1389,307,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:35:37 310 CET 2020,12,-1,0,0,309,2,1389,310,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:36:07 314 CET 2020,12,-1,0,0,313,2,1389,314,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:36:37 316 CET 2020,12,-1,0,0,316,2,1389,317,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:37:07 319 CET 2020,12,-1,0,0,319,2,1389,320,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:37:37 323 CET 2020,12,-1,0,0,322,2,1389,323,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:38:07 327 CET 2020,12,-1,0,0,325,2,1389,326,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:38:37 331 CET 2020,12,-1,0,0,328,2,1389,329,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:39:07 334 CET 2020,12,-1,0,0,331,2,1389,332,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:39:37 338 CET 2020,12,-1,0,0,334,2,1389,335,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:40:07 342 CET 2020,12,-1,0,0,337,2,1389,338,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:40:37 345 CET 2020,12,-1,0,0,340,2,1389,341,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:41:07 348 CET 2020,12,-1,0,0,344,2,1389,345,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:41:37 351 CET 2020,12,-1,0,0,347,2,1389,348,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:42:07 355 CET 2020,12,-1,0,0,350,2,1389,351,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:42:37 359 CET 2020,12,-1,0,0,353,2,1389,354,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:43:07 362 CET 2020,12,-1,0,0,356,2,1389,357,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:43:37 365 CET 2020,12,-1,0,0,359,2,1389,360,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:44:07 368 CET 2020,12,-1,0,0,362,2,1389,363,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:44:37 371 CET 2020,12,-1,0,0,365,2,1389,366,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:45:07 374 CET 2020,12,-1,0,0,368,2,1389,369,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:45:37 378 CET 2020,12,-1,0,0,371,2,1389,372,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:46:07 382 CET 2020,12,-1,0,0,375,2,1389,376,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:46:37 385 CET 2020,12,-1,0,0,378,2,1389,379,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:47:07 388 CET 2020,12,-1,0,0,381,2,1389,382,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:47:37 391 CET 2020,12,-1,0,0,384,2,1389,385,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:48:07 395 CET 2020,12,-1,0,0,387,2,1389,388,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:48:37 398 CET 2020,12,-1,0,0,390,2,1389,391,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:49:07 401 CET 2020,12,-1,0,0,393,2,1389,394,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:49:37 404 CET 2020,12,-1,0,0,396,2,1389,397,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:50:07 408 CET 2020,12,-1,0,0,399,2,1389,400,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:50:37 411 CET 2020,12,-1,0,0,402,2,1389,403,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:51:07 415 CET 2020,12,-1,0,0,406,2,1389,407,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:51:37 418 CET 2020,12,-1,0,0,409,2,1389,410,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:52:07 421 CET 2020,12,-1,0,0,412,2,1389,413,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:52:37 425 CET 2020,12,-1,0,0,415,2,1389,416,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:53:07 429 CET 2020,12,-1,0,0,418,2,1389,419,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:53:37 431 CET 2020,12,-1,0,0,421,2,1389,422,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,0
Tue Feb 25 22:54:07 434 CET 2020,12,-1,0,0,424,2,1389,425,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:54:37 435 CET 2020,12,-1,0,0,427,2,1389,428,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:55:07 441 CET 2020,12,-1,0,0,430,2,1389,431,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,2
Tue Feb 25 22:55:37 445 CET 2020,12,-1,0,0,433,2,1389,434,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:56:07 447 CET 2020,12,-1,0,0,437,2,1389,438,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
Tue Feb 25 22:56:37 450 CET 2020,12,-1,0,0,440,2,1389,441,9,1,8,3,12288,0,22524,0,2,0,2048,0,1,0,0,0,0,1,53248,1
