timestamp,largeDestCount,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageRate,inboundMessageCount,outboundMessageRate,outboundMessageCount,queueCount,consumerCount,producerCount,topicCount,msgMem,diskReadRate,durableCount,diskWriteRate,sessionCount,asyncDBSize,syncDBSize,msgMemPooled,routeRecoverCount,adminConnectionCount,outboundBytesRate,inboundBytesRate,diskReadOperationsRate,clientConnectionCount,diskWriteOperationsRate,RespTime
Fri Aug 30 09:11:18 695 BST 2019,0,1,0,0,0,213,0,212,8,1,1,5,12861,0,0,0,1,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:11:48 707 BST 2019,0,2,0,0,0,215,0,214,8,3,1,7,17525,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:12:18 712 BST 2019,0,2,0,0,0,220,0,219,8,3,1,7,17526,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:12:48 714 BST 2019,0,2,0,0,0,223,0,222,8,3,1,7,17526,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:13:18 718 BST 2019,0,2,0,0,0,226,0,225,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:13:48 721 BST 2019,0,2,0,0,0,229,0,228,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:14:18 722 BST 2019,0,2,0,0,0,232,0,231,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:14:48 726 BST 2019,0,2,0,0,0,235,0,234,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:15:18 729 BST 2019,0,2,0,0,0,238,0,237,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:15:48 730 BST 2019,0,2,0,0,0,241,0,240,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:16:18 743 BST 2019,0,2,0,0,0,244,0,243,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:16:48 768 BST 2019,0,2,0,0,0,247,0,246,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,23
Fri Aug 30 09:17:18 772 BST 2019,0,2,0,0,0,250,0,249,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:17:48 775 BST 2019,0,2,0,0,0,253,0,252,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:18:18 780 BST 2019,0,2,0,0,0,256,0,255,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:18:48 783 BST 2019,0,2,0,0,0,259,0,258,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:19:18 790 BST 2019,0,2,0,0,0,262,0,261,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:19:48 793 BST 2019,0,2,0,0,0,265,0,264,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:20:18 794 BST 2019,0,2,0,0,0,268,0,267,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:20:48 795 BST 2019,0,2,0,0,0,271,0,270,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:21:18 797 BST 2019,0,2,0,0,0,274,0,273,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:21:48 798 BST 2019,0,2,0,0,0,277,0,276,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:22:18 799 BST 2019,0,2,0,0,0,280,0,279,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:22:48 802 BST 2019,0,2,0,0,0,283,0,282,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:23:18 804 BST 2019,0,2,0,0,0,286,0,285,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:23:48 809 BST 2019,0,2,0,0,0,289,0,288,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:24:18 811 BST 2019,0,2,0,0,0,292,0,291,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:24:48 814 BST 2019,0,2,0,0,0,295,0,294,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:25:18 818 BST 2019,0,2,0,0,0,298,0,297,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:25:48 822 BST 2019,0,2,0,0,0,301,0,300,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:26:18 825 BST 2019,0,2,0,0,0,304,0,303,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:26:48 830 BST 2019,0,2,0,0,0,307,0,306,8,3,1,7,17691,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:27:18 832 BST 2019,0,2,0,0,0,310,0,309,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:27:48 836 BST 2019,0,2,0,0,0,313,0,312,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:28:18 840 BST 2019,0,2,0,0,0,316,0,315,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:28:48 845 BST 2019,0,2,0,0,0,319,0,318,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:29:18 851 BST 2019,0,2,0,0,0,322,0,321,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:29:48 856 BST 2019,0,2,0,0,0,325,0,324,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:30:18 861 BST 2019,0,2,0,0,0,328,0,327,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:30:48 863 BST 2019,0,2,0,0,0,331,0,330,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:31:18 868 BST 2019,0,2,0,0,0,334,0,333,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:31:48 873 BST 2019,0,2,0,0,0,337,0,336,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:32:18 876 BST 2019,0,2,0,0,0,340,0,339,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:32:48 880 BST 2019,0,2,0,0,0,343,0,342,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:33:18 883 BST 2019,0,2,0,0,0,346,0,345,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:33:48 888 BST 2019,0,2,0,0,0,349,0,348,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:34:18 891 BST 2019,0,2,0,0,0,352,0,351,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:34:48 893 BST 2019,0,2,0,0,0,355,0,354,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:35:18 897 BST 2019,0,2,0,0,0,358,0,357,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:35:48 901 BST 2019,0,2,0,0,0,361,0,360,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:36:18 907 BST 2019,0,2,0,0,0,364,0,363,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:36:48 910 BST 2019,0,2,0,0,0,367,0,366,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:37:18 916 BST 2019,0,2,0,0,0,370,0,369,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,4
Fri Aug 30 09:37:48 919 BST 2019,0,2,0,0,0,373,0,372,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:38:18 924 BST 2019,0,2,0,0,0,376,0,375,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:38:48 927 BST 2019,0,2,0,0,0,379,0,378,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:39:18 930 BST 2019,0,2,0,0,0,382,0,381,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:39:48 933 BST 2019,0,2,0,0,0,385,0,384,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:40:18 934 BST 2019,0,2,0,0,0,388,0,387,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:40:48 936 BST 2019,0,2,0,0,0,391,0,390,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:41:18 941 BST 2019,0,2,0,0,0,394,0,393,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:41:48 942 BST 2019,0,2,0,0,0,397,0,396,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:42:18 944 BST 2019,0,2,0,0,0,400,0,399,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:42:48 949 BST 2019,0,2,0,0,0,403,0,402,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:43:18 953 BST 2019,0,2,0,0,0,406,0,405,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:43:48 956 BST 2019,0,2,0,0,0,409,0,408,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:44:18 958 BST 2019,0,2,0,0,0,412,0,411,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:44:48 961 BST 2019,0,2,0,0,0,415,0,414,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:45:18 964 BST 2019,0,2,0,0,0,418,0,417,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:45:48 967 BST 2019,0,2,0,0,0,421,0,420,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:46:18 970 BST 2019,0,2,0,0,0,424,0,423,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 09:46:48 974 BST 2019,0,2,0,0,0,427,0,426,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,3
Fri Aug 30 09:47:18 976 BST 2019,0,2,0,0,0,430,0,429,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:47:48 980 BST 2019,0,2,0,0,0,433,0,432,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:48:18 985 BST 2019,0,2,0,0,0,436,0,435,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:48:48 987 BST 2019,0,2,0,0,0,439,0,438,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:49:18 990 BST 2019,0,2,0,0,0,442,0,441,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:49:48 993 BST 2019,0,2,0,0,0,445,0,444,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:50:18 998 BST 2019,0,2,0,0,0,448,0,447,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:50:49 000 BST 2019,0,2,0,0,0,451,0,450,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:51:19 005 BST 2019,0,2,0,0,0,454,0,453,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:51:49 006 BST 2019,0,2,0,0,0,457,0,456,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:52:19 010 BST 2019,0,2,0,0,0,460,0,459,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:52:49 014 BST 2019,0,2,0,0,0,463,0,462,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:53:19 019 BST 2019,0,2,0,0,0,466,0,465,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:53:49 021 BST 2019,0,2,0,0,0,469,0,468,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:54:19 024 BST 2019,0,2,0,0,0,472,0,471,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:54:49 029 BST 2019,0,2,0,0,0,475,0,474,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:55:19 034 BST 2019,0,2,0,0,0,478,0,477,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:55:49 038 BST 2019,0,2,0,0,0,481,0,480,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:56:19 042 BST 2019,0,2,0,0,0,484,0,483,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:56:49 046 BST 2019,0,2,0,0,0,487,0,486,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:57:19 051 BST 2019,0,2,0,0,0,490,0,489,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:57:49 055 BST 2019,0,2,0,0,0,493,0,492,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:58:19 060 BST 2019,0,2,0,0,0,496,0,495,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:58:49 062 BST 2019,0,2,0,0,0,499,0,498,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 09:59:19 066 BST 2019,0,2,0,0,0,502,0,501,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 09:59:49 071 BST 2019,0,2,0,0,0,505,0,504,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:00:19 073 BST 2019,0,2,0,0,0,508,0,507,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:00:49 076 BST 2019,0,2,0,0,0,511,0,510,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:01:19 080 BST 2019,0,2,0,0,0,514,0,513,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:01:49 083 BST 2019,0,2,0,0,0,517,0,516,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:02:19 084 BST 2019,0,2,0,0,0,520,0,519,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:02:49 085 BST 2019,0,2,0,0,0,523,0,522,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:03:19 086 BST 2019,0,2,0,0,0,526,0,525,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:03:49 091 BST 2019,0,2,0,0,0,529,0,528,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:04:19 093 BST 2019,0,2,0,0,0,532,0,531,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:04:49 097 BST 2019,0,2,0,0,0,535,0,534,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:05:19 099 BST 2019,0,2,0,0,0,538,0,537,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:05:49 102 BST 2019,0,2,0,0,0,541,0,540,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:06:19 103 BST 2019,0,2,0,0,0,544,0,543,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:06:49 104 BST 2019,0,2,0,0,0,547,0,546,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:07:19 107 BST 2019,0,2,0,0,0,550,0,549,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:07:49 110 BST 2019,0,2,0,0,0,553,0,552,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:08:19 113 BST 2019,0,2,0,0,0,556,0,555,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:08:49 115 BST 2019,0,2,0,0,0,559,0,558,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:09:19 119 BST 2019,0,2,0,0,0,562,0,561,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:09:49 123 BST 2019,0,2,0,0,0,565,0,564,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:10:19 126 BST 2019,0,2,0,0,0,568,0,567,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:10:49 128 BST 2019,0,2,0,0,0,571,0,570,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:11:19 130 BST 2019,0,2,0,0,0,574,0,573,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:11:49 134 BST 2019,0,2,0,0,0,577,0,576,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:12:19 139 BST 2019,0,2,0,0,0,580,0,579,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:12:49 142 BST 2019,0,2,0,0,0,583,0,582,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:13:19 146 BST 2019,0,2,0,0,0,586,0,585,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:13:49 150 BST 2019,0,2,0,0,0,589,0,588,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:14:19 151 BST 2019,0,2,0,0,0,592,0,591,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:14:49 152 BST 2019,0,2,0,0,0,595,0,594,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:15:19 155 BST 2019,0,2,0,0,0,598,0,597,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:15:49 158 BST 2019,0,2,0,0,0,601,0,600,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:16:19 163 BST 2019,0,2,0,0,0,604,0,603,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:16:49 167 BST 2019,0,2,0,0,0,607,0,606,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:17:19 171 BST 2019,0,2,0,0,0,610,0,609,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:17:49 176 BST 2019,0,2,0,0,0,613,0,612,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:18:19 179 BST 2019,0,2,0,0,0,616,0,615,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:18:49 183 BST 2019,0,2,0,0,0,619,0,618,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:19:19 187 BST 2019,0,2,0,0,0,622,0,621,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:19:49 188 BST 2019,0,2,0,0,0,625,0,624,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:20:19 192 BST 2019,0,2,0,0,0,628,0,627,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:20:49 196 BST 2019,0,2,0,0,0,631,0,630,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:21:19 198 BST 2019,0,2,0,0,0,634,0,633,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,1
Fri Aug 30 10:21:49 201 BST 2019,0,2,0,0,0,637,0,636,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:22:19 203 BST 2019,0,2,0,0,0,640,0,639,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:22:49 207 BST 2019,0,2,0,0,0,643,0,642,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:23:19 212 BST 2019,0,2,0,0,0,646,0,645,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:23:49 215 BST 2019,0,2,0,0,0,649,0,648,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,0
Fri Aug 30 10:24:19 218 BST 2019,0,2,0,0,0,652,0,651,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:24:49 223 BST 2019,0,2,0,0,0,655,0,654,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:25:19 227 BST 2019,0,2,0,0,0,658,0,657,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:25:49 230 BST 2019,0,2,0,0,0,661,0,660,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
Fri Aug 30 10:26:19 234 BST 2019,0,2,0,0,0,664,0,663,8,3,1,7,17692,0,0,0,2,3072,2048,53248,0,-1,0,0,0,-1,0,2
